BUY THIS:
"25","MSI B250 motherboard ","https://www.kijiji.ca/v-computer-components/city-of-toronto/msi-b250-motherboard/1612165854","Toronto, ON M5E0A5","This product has bent pins. But everything else works perfectly . Could be refurbished by a ","Fri Apr 08 2022 23:33:08 GMT-0400 (Eastern Daylight Time)"
"40","Gigabyte GA-Z87P-D3 For Z87 Intel LGA 1150 ","https://www.kijiji.ca/v-computer-components/markham-york-region/gigabyte-ga-z87p-d3-for-z87-intel-lga-1150/1588526857","Woodbridge, ON L4H 2A7, Canada","Stock in boot loop Stock in boot loop Stock in boot loop Stock in boot loop Gigabyte GA-Z87P-D3 For ","Mon Mar 21 2022 21:48:15 GMT-0400 (Eastern Daylight Time)"
"45","Intel cpus xeon i7 1366 X5687 i7-960 etc.","https://www.kijiji.ca/v-computer-components/city-of-toronto/intel-cpus-xeon-i7-1366-x5687-i7-960-etc/1611061115","Toronto, ON M4C 3P4","These xeon i7 equivalent processors will work both in X58 motherboards and 1P 2P server/workstation ","Thu Mar 31 2022 18:24:03 GMT-0400 (Eastern Daylight Time)"
"80","Asus  P9X79 LE  motheboard","https://www.kijiji.ca/v-other/hamilton/asus-p9x79-le-motheboard/1608404336","Burlington, ON L7P 4Y7","Asus P9X79 LE motherboard LGA 2011 socket Board posts Has missing cpu pins, affects ram slots 4 out ","Thu Mar 10 2022 21:06:53 GMT-0500 (Eastern Standard Time)"
"120","Intel i7-3930K i7-5920K unlocked 6 core processors 2011","https://www.kijiji.ca/v-computer-components/city-of-toronto/intel-i7-3930k-i7-5920k-unlocked-6-core-processors-2011/1611728919","Toronto, ON M4C 3P4","Intel i7-3930K six core socket 2011 unlocked processor - for X79 motherboards originally purchased ","Tue Apr 05 2022 16:13:21 GMT-0400 (Eastern Daylight Time)"
