BUY THIS:
"5","Computer montor keyboard and mouse ","https://www.kijiji.ca/v-desktop-computers/mississauga-peel-region/computer-montor-keyboard-and-mouse/1608726577","Brampton, ON L6R 1G1, Canada","USB Keyboard & Mouse and office supplies $5 -$70","Sun Mar 13 2022 14:42:13 GMT-0400 (Eastern Daylight Time)"
"10","Intel core i3 2120","https://www.kijiji.ca/v-desktop-computers/city-of-toronto/intel-core-i3-2120/1610070039","Toronto, ON M4H","Works GREAT only problem is the scratches. Trying to take off the thermal paste.","Thu Mar 24 2022 08:33:48 GMT-0400 (Eastern Daylight Time)"
"20","Compaq SLT/286 Manuals & 5 1/4 Floppy’s","https://www.kijiji.ca/v-desktop-computers/oakville-halton-region/compaq-slt-286-manuals-5-1-4-floppy-s/1605923858","Oakville, ON L6J7H3","Compaq Manuals for Compaq SLT/286 Personal Computer: -Get Started $5 -System Overview $5 -User ","Tue Feb 22 2022 10:34:40 GMT-0500 (Eastern Standard Time)"
"20","Computer set available ","https://www.kijiji.ca/v-desktop-computers/mississauga-peel-region/computer-set-available/1608533846","Brampton, ON L6P1G8","2 screen - $60 each 1 keyboard - $25 1 mouse - $10 1 cpu - $165 2 headset with microphone - $20 ","Fri Mar 11 2022 23:56:59 GMT-0500 (Eastern Standard Time)"
"20","IBM NetVista","https://www.kijiji.ca/v-desktop-computers/mississauga-peel-region/ibm-netvista/1610613797","Brampton, ON L6X 0Z7","I am selling my IBM NetVista MT-M 8303-52U computer. Just the CPU only. No hard drive or floppy ","Mon Mar 28 2022 09:23:44 GMT-0400 (Eastern Daylight Time)"
"20","For Sale: Emachines T2878","https://www.kijiji.ca/v-desktop-computers/city-of-toronto/for-sale:-emachines-t2878/1567597706","Toronto, ON M1V0E7","For Sale: Emachines T2878 Does not come with hard drive but computer was working when it was ","Wed Mar 02 2022 09:10:51 GMT-0500 (Eastern Standard Time)"
"20","HP ProDesk 400/600 G2 / EliteDesk 800 G2 Fan P/N: 810571-001","https://www.kijiji.ca/v-desktop-computers/city-of-toronto/hp-prodesk-400-600-g2-elitedesk-800-g2-fan-p-n:-810571-001/1604045299","Toronto, ON M6K 1G7","Brand new HP fan PN: 810571-001 HP ProDesk 400/600 G2 / EliteDesk 800 G2 Fan P/N: 810571-001","Mon Mar 28 2022 22:13:16 GMT-0400 (Eastern Daylight Time)"
"25","Sony Vaio computer ","https://www.kijiji.ca/v-desktop-computers/mississauga-peel-region/sony-vaio-computer/1607719450","Mississauga, ON L5E2K6","Older Sony Vaio computer running Windows XP Media Center pictures for specs $25 if ad is up then ","Sat Mar 05 2022 10:47:17 GMT-0500 (Eastern Standard Time)"
"25","Dynex Desktop Card","https://www.kijiji.ca/v-desktop-computers/mississauga-peel-region/dynex-desktop-card/1584699405","Brampton, ON L6Y 4T4","Dynex Wireless Enhanced G Desktop Card Brand new","Tue Feb 22 2022 21:18:16 GMT-0500 (Eastern Standard Time)"
"25","Desktop Computer","https://www.kijiji.ca/v-desktop-computers/mississauga-peel-region/desktop-computer/1608239141","Mississauga, ON L5N 1N1","Emachine Computer (Including mouse, key board, speakers X2 and External Camera) Working condition ","Wed Mar 09 2022 13:45:36 GMT-0500 (Eastern Standard Time)"
