BUY THIS:
"5","Computer Parts (Case, Liquid Cooler, 700W PSU, MB)","https://www.kijiji.ca/v-computer-components/city-of-toronto/computer-parts-case-liquid-cooler-700w-psu-mb/1610408978","Toronto, ON M4J 3P1","Full Tower Case, OCZ 700W 80+ Certified PSU, Corsair H115i Liquid Cooler, Asus Z370-P Motherboard ","Sat Mar 26 2022 17:25:23 GMT-0400 (Eastern Daylight Time)"
"15","Intel Xeon E5645 CPU  LGA1366","https://www.kijiji.ca/v-computer-components/city-of-toronto/intel-xeon-e5645-cpu-lga1366/1595305053","Toronto, ON M2K1H4","Intel Xeon E5645 2.40 GHz processor for sale. 6 cores. Lga1366 socket . Works on most LGA1366 ","Wed Feb 02 2022 13:13:21 GMT-0500 (Eastern Standard Time)"
"30","Motherboard Gigabyte B365MDS3H","https://www.kijiji.ca/v-computer-components/city-of-toronto/motherboard-gigabyte-b365mds3h/1604187200","Toronto, ON M1W2C8","Motherboard Gigabyte B365MDS3H. Posted in computer accessories, system components in City of ","Wed Feb 02 2022 18:22:05 GMT-0500 (Eastern Standard Time)"
"30","Intel i7 i5 xeon socket 1156 processors","https://www.kijiji.ca/v-computer-components/city-of-toronto/intel-i7-i5-xeon-socket-1156-processors/1610830478","Toronto, ON M4B","i5-650 $30 firm i5-750 $50 firm i7-860 $80 firm i7-870 $90 firm xeon x3460 (4 core 8 thread, same ","Tue Mar 29 2022 20:15:47 GMT-0400 (Eastern Daylight Time)"
"40","Gigabyte GA-Z87P-D3 For Z87 Intel LGA 1150 ","https://www.kijiji.ca/v-computer-components/markham-york-region/gigabyte-ga-z87p-d3-for-z87-intel-lga-1150/1588526857","Woodbridge, ON L4H 2A7, Canada","Stock in boot loop Stock in boot loop Stock in boot loop Stock in boot loop Gigabyte GA-Z87P-D3 For ","Mon Mar 21 2022 21:48:15 GMT-0400 (Eastern Daylight Time)"
"45","Intel cpus xeon i7 1366 X5687 i7-960 etc.","https://www.kijiji.ca/v-computer-components/city-of-toronto/intel-cpus-xeon-i7-1366-x5687-i7-960-etc/1609974333","Toronto, ON M4C 3P4","These xeon i7 equivalent processors will work both in X58 motherboards and 1P 2P server/workstation ","Wed Mar 23 2022 12:17:48 GMT-0400 (Eastern Daylight Time)"
"70","Gigibyte motherboard","https://www.kijiji.ca/v-desktop-computers/oakville-halton-region/gigibyte-motherboard/1610835454","747 Mullin Way, Burlington, ON","Gigibyte b450M DS3H motherboard. Nothing wrong with it, just upgraded to intel cpu and needed a new ","Tue Mar 29 2022 20:58:59 GMT-0400 (Eastern Daylight Time)"
"70","Asus H410M-A Prime Motherboard LGA1200 Socket Intel H410 Chipset","https://www.kijiji.ca/v-computer-components/city-of-toronto/asus-h410m-a-prime-motherboard-lga1200-socket-intel-h410-chipset/1610414987","33 Howland Avenue, Toronto, ON","Motherboard in perfectly good condition and working completely perfectly. Reason I'm selling is ","Sat Mar 26 2022 18:04:59 GMT-0400 (Eastern Daylight Time)"
"74","MSI H410M-PRO ProSeries 10thGen Intel Core,LGA 1200 Socket DDR4","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/msi-h410m-pro-proseries-10thgen-intel-core-lga-1200-socket-ddr4/1608498862","Mississauga, ON L5M 7Z6","MSI H410M-PRO ProSeries 10th Gen Intel Core, LGA 1200 Socket DDR4, USB Motherboard This is For ","Fri Mar 11 2022 17:03:44 GMT-0500 (Eastern Standard Time)"
"80","Asus  P9X79 LE  motheboard","https://www.kijiji.ca/v-other/hamilton/asus-p9x79-le-motheboard/1608404336","Burlington, ON L7P 4Y7","Asus P9X79 LE motherboard LGA 2011 socket Board posts Has missing cpu pins, affects ram slots 4 out ","Thu Mar 10 2022 21:06:53 GMT-0500 (Eastern Standard Time)"
