BUY THIS:
"25","Samsung ssd 128gb","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/samsung-ssd-128gb/1610581903","Mavis Rd, Mississauga, ON L5V 1Z9, Canada","Ssd used a few times runs great","Sun Mar 27 2022 21:13:12 GMT-0400 (Eastern Daylight Time)"
"25","Kingston SSD 120GB","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/kingston-ssd-120gb/1610694801","Brampton, ON L6V 4K9, Canada","Fixed price, serious buyers only.","Mon Mar 28 2022 18:56:43 GMT-0400 (Eastern Daylight Time)"
"30","Computer Hard  and SSDs","https://www.kijiji.ca/v-laptop-accessories/hamilton/computer-hard-and-ssds/1500830834","Tindale Ct, Hamilton, ON L8K 6C8, Canada","1- 500GB HDD-$40 525 GB SSD-$80- Has been sold 1-240GB SSD-$60- Sold 1-40GB SSD-$20 1-250GB SSD-$60 ","Fri Apr 01 2022 08:46:17 GMT-0400 (Eastern Daylight Time)"
"40","XPG SX930 ADATA SSD 2.5 Inches 480Gb ($25 if you can come ASAP)
","https://www.kijiji.ca/v-computer-components/hamilton/xpg-sx930-adata-ssd-2-5-inches-480gb-25-if-you-can-come-asap/1612029851","Mohawk Rd E, Hamilton, ON L9A 2J3, Canada","($25 if you can come tonight april 7) ▪︎Storage 480Gb ▪︎Brand ADATA ▪︎Series XPG SX930 ▪︎Size 2.5 ","Thu Apr 07 2022 21:34:20 GMT-0400 (Eastern Daylight Time)"
"45","500GB Western Digital SSD","https://www.kijiji.ca/v-computer-components/oakville-halton-region/500gb-western-digital-ssd/1608722068","Burlington, ON L7L4R7","I am going through my older computer equipment and posting everything that I will not be using ","Sun Mar 13 2022 14:14:28 GMT-0400 (Eastern Daylight Time)"
"60","512gb /480gb 2.5 inch SATA 3 SSD with 512M cache","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/512gb-480gb-2-5-inch-sata-3-ssd-with-512m-cache/1611609447","Brampton, ON L6T","Great condition, solid state drive with DRAM cache. According to amazon, it can go up to 559 / ","Mon Apr 04 2022 17:35:27 GMT-0400 (Eastern Daylight Time)"
"65","ADATA 512GB SSD M2","https://www.kijiji.ca/v-flash-memory-usb-sticks/mississauga-peel-region/adata-512gb-ssd-m2/1610525446","Brampton, ON L6P 1A3","Solid state drive in excellent condition.I just upgrade to a larger drive.No longer needed.","Sun Mar 27 2022 14:53:13 GMT-0400 (Eastern Daylight Time)"
"65","New ADATA SU800, 512GB 3D-NAND 2.5 Inch SATA III","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/new-adata-su800-512gb-3d-nand-2-5-inch-sata-iii/1606233635","Brampton, ON L6T","New Sealed. High Speed Read & Write up to 560MB/s & 520MB/s Solid State Drive Price: $65. $80 Value ","Sun Feb 20 2022 13:46:44 GMT-0500 (Eastern Standard Time)"
"100","crucial MX500 ssd 1tb","https://www.kijiji.ca/v-flash-memory-usb-sticks/mississauga-peel-region/crucial-mx500-ssd-1tb/1611078204","Argentia Rd, Mississauga, ON L5N 0A2, Canada","Brand new asking $100","Thu Mar 31 2022 21:06:28 GMT-0400 (Eastern Daylight Time)"
"100","Samsung 980 Series - 1TB","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/samsung-980-series-1tb/1611942278","Brampton, ON L6S, Canada","Samsung 980 Series - 1TB PCIe Gen3. X4 NVMe 1.4 - M.2 Internal SSD (MZ-V8V1T0B/AM Brand new box ","Thu Apr 07 2022 10:34:29 GMT-0400 (Eastern Daylight Time)"
"100","1 TB SSD","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/1-tb-ssd/1611373030","Mississauga, ON L5B0G3","1 TB SSD. Posted in computer accessories, system components in Mississauga / Peel Region. April 3, ","Sun Apr 03 2022 04:54:24 GMT-0400 (Eastern Daylight Time)"
"120","WD BLACK P50 1TB (2000mb/s)","https://www.kijiji.ca/v-general-electronics/mississauga-peel-region/wd-black-p50-1tb-2000mb-s/1610852951","Brampton, ON L6X2Z6","Selling a brand new ssd for gaming.i have never used it.","Wed Mar 30 2022 01:20:44 GMT-0400 (Eastern Daylight Time)"
"120","SAMSUNG 870 QVO SATA III 2.5"" SSD 1TB","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/samsung-870-qvo-sata-iii-2-5-ssd-1tb/1555140853","Mississauga, ON L5M","New, not formatted, out of the box for picture only. Bottom price, just reply with your number when ","Sat Mar 26 2022 13:09:09 GMT-0400 (Eastern Daylight Time)"
