BUY THIS:
"15","GPU / graphics card ","https://www.kijiji.ca/v-computer-components/hamilton/gpu-graphics-card/1622398938","UPPER JAMES at TWENTY, Hamilton, ON L9B 1K9, Canada","Hi I have a Radeon HD 5850 graphics card selling just for $20 pick up in upper james near walmart ","Wed Jun 22 2022 17:13:12 GMT-0400 (Eastern Daylight Time)"
"35","R9 270x 2gb gpu","https://www.kijiji.ca/v-computer-components/oakville-halton-region/r9-270x-2gb-gpu/1622388215","Burlington, ON L7P","I have a R9 270x 2gb gpu. I’m not sure if it works haven’t used it seems to be in good condition ","Wed Jun 22 2022 15:58:43 GMT-0400 (Eastern Daylight Time)"
"50","Asus GTX 950 - 2GB","https://www.kijiji.ca/v-desktop-computers/hamilton/asus-gtx-950-2gb/1629163640","Hamilton, ON L8R","used gpu but still working good","Mon Aug 15 2022 15:56:24 GMT-0400 (Eastern Daylight Time)"
"50","RX 570 4GB MSI","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/rx-570-4gb-msi/1602058379","Mississauga, ON L5A 4C4","**AS IS** my pc boots up with the card installed but the card has no display didn't try baking it ","Thu Jul 07 2022 20:49:46 GMT-0400 (Eastern Daylight Time)"
"55","EVGA GTX 760 - 4GB GDDR5","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/evga-gtx-760-4gb-gddr5/1628451131","Mavis Rd, Mississauga, ON L5R 3W4, Canada","Selling an EVGA GTX 760 with 4GB of GDDR5 memory. No cables unfortunately","Tue Aug 09 2022 19:41:56 GMT-0400 (Eastern Daylight Time)"
"60","amd radeon r9 280x 3gb graphics card","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/amd-radeon-r9-280x-3gb-graphics-card/1597518186","Mississauga, ON L4Z 4B4","selling a amd radeon r9 280x 3gb asus directcu II graphics card. not sure if it works, as there is ","Sat Jul 23 2022 05:31:41 GMT-0400 (Eastern Daylight Time)"
"60","Nvidia GTX 660 OEM graphics card","https://www.kijiji.ca/v-computer-components/hamilton/nvidia-gtx-660-oem-graphics-card/1627199233","Hamilton, ON L8P 2G4","Great condition. Never had a single problem with it. It's between a GTX660 and a GTX660Ti. Good for ","Sat Jul 30 2022 23:29:59 GMT-0400 (Eastern Daylight Time)"
"60","EVGA GeForce GTX 660 Superclocked (2 GB GDDR5)","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/evga-geforce-gtx-660-superclocked-2-gb-gddr5/1626320692","Brampton, ON L6P","EVGA GeForce GTX 660 Superclocked (2 GB GDDR5)","Sat Jul 23 2022 20:56:12 GMT-0400 (Eastern Daylight Time)"
"70","ASUS STRIX GAMING RX 570","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/asus-strix-gaming-rx-570/1629310325","Brampton, ON L6Y 5A8, Canada","4gb DDR5 used for 1.5 years Good condition","Tue Aug 16 2022 17:37:39 GMT-0400 (Eastern Daylight Time)"
"90","msi lightning amd radeon r9 290x 4gb gpu","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/msi-lightning-amd-radeon-r9-290x-4gb-gpu/1628606127","Mississauga, ON L5R 3E7","Have a msi lightning amd radeon r9 290x 4gb graphics card that i want to let go. You can find out ","Thu Aug 11 2022 03:35:15 GMT-0400 (Eastern Daylight Time)"
"100","R9 390 8Gb Saphire Nitro. $100","https://www.kijiji.ca/v-general-electronics/hamilton/r9-390-8gb-saphire-nitro-100/1628584007","Hamilton, ON L8L 5C9","I am selling my R9 390, has been used in my desktop gaming computer for 5 years. Still in good ","Wed Aug 10 2022 20:28:08 GMT-0400 (Eastern Daylight Time)"
"100","Asus RX 560 2 GB","https://www.kijiji.ca/v-other/mississauga-peel-region/asus-rx-560-2-gb/1623555012","Mississauga, ON L5M 4L8","Selling a couple other mice, keyboards and computer parts so feel free to check my profile and let ","Fri Jul 01 2022 17:00:34 GMT-0400 (Eastern Daylight Time)"
"100","Gtx 1070 8gb; Gtx 1080 8gb; RX 5700 8gb; or similar 8gb GPU ","https://www.kijiji.ca/v-computer-components/oakville-halton-region/gtx-1070-8gb-gtx-1080-8gb-rx-5700-8gb-or-similar-8gb-gpu/1622319240","Oakville, ON L6L","Looking for 8gb GPU $100 cash Must be fully functional in good shape. Let me know if you have one. ","Wed Jun 22 2022 05:46:52 GMT-0400 (Eastern Daylight Time)"
"100","Rx 580, 480 and GTX 1070 ti for sale","https://www.kijiji.ca/v-desktop-computers/oakville-halton-region/rx-580-480-and-gtx-1070-ti-for-sale/1629263255","Mulcaster Rd, Mississauga, ON L5L 5A7, Canada","All three are in very good condition. Handles stress tests and can maintain a healthy 65-70 degrees ","Tue Aug 16 2022 12:12:06 GMT-0400 (Eastern Daylight Time)"
"100","Geforce gtx 960 gaming card","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/geforce-gtx-960-gaming-card/1621377361","Mississauga, ON L4Z 4B6","The ZOTAC GeForce® GTX 960 is a high-performance graphics card designed with gamers in mind. ","Thu Aug 11 2022 19:36:19 GMT-0400 (Eastern Daylight Time)"
"110","R9 290X VaporX 4GB for sale","https://www.kijiji.ca/v-computer-components/hamilton/r9-290x-vaporx-4gb-for-sale/1628688762","Hamilton, ON L8E 1B8","For Sale R9 290X VaporX 4GB, perfect working condition. $110 firm.","Thu Aug 11 2022 18:00:28 GMT-0400 (Eastern Daylight Time)"
"120","Gtx 1060 6gb","https://www.kijiji.ca/v-desktop-computers/oakville-halton-region/gtx-1060-6gb/1628940120","Oakville, ON L6M 4A1","Used for mining, card in good condition. Selling because upgrading, 22mh/s. Pickup only, $120 obo","Sat Aug 13 2022 18:31:49 GMT-0400 (Eastern Daylight Time)"
"120","Zotac GTX 970 Graphic card","https://www.kijiji.ca/v-computer-components/hamilton/zotac-gtx-970-graphic-card/1627083573","Hamilton, ON L8P","Works with no problem, don’t need it anymore, can test it in my pc before selling.","Mon Aug 01 2022 19:47:20 GMT-0400 (Eastern Daylight Time)"
"120","Nvidia Gtx 1060 5Gb","https://www.kijiji.ca/v-computer-components/hamilton/nvidia-gtx-1060-5gb/1624368573","Hamilton, ON L8S0A2","Been a couple years since I upgraded, card had been collecting dust so I’m selling it now. Never ","Fri Jul 08 2022 03:01:18 GMT-0400 (Eastern Daylight Time)"
"125","Gtx 1050 and AMD Ryzen 5 2600x","https://www.kijiji.ca/v-desktop-computers/oakville-halton-region/gtx-1050-and-amd-ryzen-5-2600x/1625203715","Oakville, ON L6H","Selling my GTX 1050 and AMD Ryzen 5 2600x because I upgraded both of them due to sales. They both ","Thu Jul 14 2022 22:02:13 GMT-0400 (Eastern Daylight Time)"
"130","Gigabyte RX 470 4Gb G1 Gaming GPU","https://www.kijiji.ca/v-computer-components/oakville-halton-region/gigabyte-rx-470-4gb-g1-gaming-gpu/1629213907","Burlington, ON L7M0M4","Gigabyte Radeon RX470 desktop computer graphic card Lightly used, still in mint condition. Never ","Mon Aug 15 2022 22:54:24 GMT-0400 (Eastern Daylight Time)"
"130","Gpu- Graphics Card: GeForce GTX 1050Ti","https://www.kijiji.ca/v-computer-components/hamilton/gpu-graphics-card:-geforce-gtx-1050ti/1628056750","Hamilton, ON L8W1B6","Gigabyte Geforce GTX 1050 Ti OC 4GB GDDR5 128 Bit PCI-E Graphic Card (GV-N105TOC-4GD) Great ","Sat Aug 06 2022 18:10:04 GMT-0400 (Eastern Daylight Time)"
"150","EVGA GEForce GTX1060 3 GB","https://www.kijiji.ca/v-computer-components/hamilton/evga-geforce-gtx1060-3-gb/1625777405","Hamilton, ON L8W 3W2","I am selling the card in the title. It has been used very little and very occasionally for gaming . ","Tue Jul 19 2022 14:40:33 GMT-0400 (Eastern Daylight Time)"
"150","MSI Armor GTX 1060 3gb OCV1 dual fan","https://www.kijiji.ca/v-computer-components/hamilton/msi-armor-gtx-1060-3gb-ocv1-dual-fan/1627294558","Hamilton, ON L8L 7J3, Canada","Not used for mining. Just upgraded. 150 obo","Sun Jul 31 2022 19:32:47 GMT-0400 (Eastern Daylight Time)"
"150","GTX 1050 ti","https://www.kijiji.ca/v-computer-components/hamilton/gtx-1050-ti/1629289006","Hamilton, ON L8V4K8","Great condition MSI Dual Fan Nvidia GTX 1050 ti graphics card for sale. Used it for about 2 years ","Tue Aug 16 2022 15:09:17 GMT-0400 (Eastern Daylight Time)"
"150","BRAND NEW!! - Nvidia GeForce GTX 970 Graphics Card!","https://www.kijiji.ca/v-computer-components/oakville-halton-region/brand-new-nvidia-geforce-gtx-970-graphics-card/1628983956","777 Guelph Line, Burlington, ON","Never opened Graphics Card - Nvidia GeForce GTX 970. Does require some dusting. CASH ONLY. No ","Sun Aug 14 2022 09:38:24 GMT-0400 (Eastern Daylight Time)"
"150","ASUS Dual GeForce GTX 1060 3GB GDDR5 PCI Express 3.0 Video Card","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/asus-dual-geforce-gtx-1060-3gb-gddr5-pci-express-3-0-video-card/1627491772","Mississauga, ON L5N 2Y4","Ive had it for 2 years now only used it for gaming and schoolwork. Has not been overclocked and ","Tue Aug 02 2022 12:05:23 GMT-0400 (Eastern Daylight Time)"
"150","GTX 1060 6gb GIGABYTE","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/gtx-1060-6gb-gigabyte/1625702631","Mississauga, ON L4Y2E9","1060 6gb - used only for gaming, no mining done. Perfect working condition. Got a new gpu so I no ","Mon Jul 18 2022 22:27:16 GMT-0400 (Eastern Daylight Time)"
"160","Gtx 1060 3gb Msi","https://www.kijiji.ca/v-computer-components/oakville-halton-region/gtx-1060-3gb-msi/1625371959","Oakville, ON L6L3H1","Gpu only been used for about 2 years for light gaming and school work. Never overclocked and newly ","Sat Jul 16 2022 12:19:08 GMT-0400 (Eastern Daylight Time)"
"160","NVIDIA GTX 1060 Graphics card","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/nvidia-gtx-1060-graphics-card/1629010030","2100 Bovaird Drive East, Brampton, ON","EVGA GeForce GTX 1060 GAMING, ACX 2.0 (Single Fan), 6GB GDDR5, DX12 OSD Support (PXOC), Only 6.8 ","Sun Aug 14 2022 12:49:31 GMT-0400 (Eastern Daylight Time)"
"160","Selling Geforce GTX 1650 Super OC Nvidia Graphics Card","https://www.kijiji.ca/v-computer-components/city-of-toronto/selling-geforce-gtx-1650-super-oc-nvidia-graphics-card/1628931602","Mississauga, ON L4W 1V5","Selling Geforce GTX 1650 Super OC Nvidia Graphics Card. Used it for 2 years works perfectly fine. ","Sat Aug 13 2022 17:15:22 GMT-0400 (Eastern Daylight Time)"
"175","MSI RX580 Gaming X 4gb graphics card","https://www.kijiji.ca/v-computer-components/oakville-halton-region/msi-rx580-gaming-x-4gb-graphics-card/1628187022","Oakville, ON L6H 6H2","Used MSI RX580 Gaming X 4gb graphics card. Original bios, tested, performs well no issues. original ","Sun Aug 07 2022 19:16:01 GMT-0400 (Eastern Daylight Time)"
"180","⭐⭐Radeon rx580 8gb (Black edition)⭐⭐","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/radeon-rx580-8gb-black-edition/1629140319","50 Kingsbridge Garden Circle, Mississauga, ON","An excellent budget graphic card for a fair price. The card is in great condition and it is perfect ","Mon Aug 15 2022 13:17:30 GMT-0400 (Eastern Daylight Time)"
"180","Gtx 1060 3gb","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/gtx-1060-3gb/1627513880","Mississauga, ON L5B4A1","180 Gtx 1060 3gb. Posted in computer accessories, system components in Mississauga / Peel Region. ","Tue Aug 02 2022 14:35:28 GMT-0400 (Eastern Daylight Time)"
"200","xfx amd radeon r9 fury 4gb gpu","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/xfx-amd-radeon-r9-fury-4gb-gpu/1608305289","Mississauga, ON L4Z 4B4","Have a xfx pro triple dissipation amd radeon r9 fury 4gb gpu graphics card to sell, in great ","Tue Jul 05 2022 01:28:01 GMT-0400 (Eastern Daylight Time)"
"200","EVGA GTX 1060 6GB
","https://www.kijiji.ca/v-computer-components/hamilton/evga-gtx-1060-6gb/1601977639","Burlington, ON L7S, Canada","Working condition, no issues, in daily use in desktop for online learning and light gaming. Great ","Tue Jul 05 2022 21:05:47 GMT-0400 (Eastern Daylight Time)"
"200","Gigabyte GeForce Gtx 1060 6Gb","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/gigabyte-geforce-gtx-1060-6gb/1626243009","Mississauga, ON L5B1V3","Gtx GeForce 1060 6gb in perfect condition Never over clocked Upgraded to a 1080 so won’t need this ","Sat Jul 23 2022 10:52:18 GMT-0400 (Eastern Daylight Time)"
"200","ASUS GeForce GTX 1060 6GB","https://www.kijiji.ca/v-computer-components/mississauga-peel-region/asus-geforce-gtx-1060-6gb/1627513375","Mississauga, ON L5B","Selling a used 1060 6GB. Comes with box for safe transport. Let me know if interested, thank you.","Tue Aug 02 2022 14:32:02 GMT-0400 (Eastern Daylight Time)"
